ts_code,trade_date,close,pe,pe_ttm,total_mv,circ_mv,pb,turnover_rate
837023.BJ,20250808,18.33,45.0438,44.3615,204452.82,116639.0984,5.3315,5.5407
300937.SZ,20250808,31.19,182.4061,263.6732,298384.3812,195397.0753,3.5347,6.7814
603960.SH,20250808,19.74,93.9976,97.5485,517578.6546,517578.6546,4.6991,2.0536
603689.SH,20250808,8.77,12.9242,13.1548,429899.325,425608.1553,1.3508,1.2494
603002.SH,20250808,7.2,161.3506,180.7109,816536.5265,816536.5265,2.383,4.9709
600584.SH,20250808,34.6,38.4659,36.9037,6191374.4122,6191374.4122,2.2439,1.7705
688606.SH,20250808,74.15,19.4354,18.4343,587867.5398,587867.5398,1.5344,1.1414
688621.SH,20250808,63.3,39.9618,52.8151,708960.0,708960.0,7.0027,5.1124
600535.SH,20250808,16.12,25.2018,24.708,2408247.4081,2408247.4081,2.0203,0.6518
835305.BJ,20250808,16.18,,,214184.5703,131221.2158,3.4314,7.1166
301275.SZ,20250808,56.95,33.8701,34.8093,2405568.0,180877.494,6.2849,4.8974
002779.SZ,20250808,97.61,278.9306,237.7442,1803832.8,1618455.1579,23.4102,4.4296
002962.SZ,20250808,15.34,68.704,81.605,447414.65,320888.2637,2.518,2.1177
603065.SH,20250808,9.12,97.0806,105.4856,382098.4257,179366.191,1.8915,2.6314
300770.SZ,20250808,40.81,14.214,13.9415,935083.2396,935083.2396,2.6169,1.5267
600925.SH,20250808,4.99,24.8151,30.1139,3437555.5556,801418.2444,2.2417,0.653
688381.SH,20250808,23.58,,,583605.0,432802.4112,2.2135,2.844
002564.SZ,20250808,8.59,306.9207,267.529,737798.9457,737798.9457,46.9513,6.9673
688159.SH,20250808,55.77,51.688,87.651,518152.4891,517148.6291,5.9233,4.1678
600889.SH,20250808,15.34,,,561974.7793,561974.7793,15.1604,1.6408
000593.SZ,20250808,6.63,124.8342,285.3353,237772.359,237674.341,2.7905,1.6157
688183.SH,20250808,50.28,125.986,82.7039,4182396.8679,4182396.8679,9.6867,2.7324
300533.SZ,20250808,37.12,,22.4829,870322.8326,612404.149,5.9719,10.9582
603256.SH,20250808,24.69,952.6133,351.785,2172047.1975,2172047.1975,14.6644,4.3122
000068.SZ,20250808,3.52,270.2314,183.1766,354348.3553,354348.3553,5.129,1.8528
301135.SZ,20250808,29.96,79.9022,72.8538,305448.192,166544.644,2.4698,6.8415
603026.SH,20250808,37.63,464.4979,,762684.84,762684.84,1.9669,0.7826
002079.SZ,20250808,10.05,110.4871,78.9865,814190.0126,813425.3704,2.6688,1.7353
688335.SH,20250808,14.43,,,213613.9163,213613.9163,1.8733,0.9316
002558.SZ,20250808,29.81,40.4764,40.6058,5767491.5714,5767491.5714,4.5247,3.0598
603205.SH,20250808,30.05,38.9939,37.7842,468780.0,117195.0,3.3288,6.2173
600458.SH,20250808,13.38,28.0069,26.1519,1245919.509,1083444.5259,1.6825,0.8743
002584.SZ,20250808,8.92,84.5046,82.3814,522013.0484,385784.689,2.2601,4.0356
002318.SZ,20250808,22.68,14.8702,14.2855,2216223.193,2165400.0391,3.0701,1.0972
000823.SZ,20250808,12.98,32.3038,29.0062,697014.9774,696985.4557,1.5765,8.2721
833429.BJ,20250808,22.41,31.2386,30.872,279004.5,253880.4047,3.3781,1.0058
000551.SZ,20250808,11.91,23.0347,21.5741,577317.0578,575231.9848,2.1785,3.6256
600792.SH,20250808,3.85,,,427320.586,408049.2235,1.4568,1.3566
603382.SH,20250808,32.22,35.217,33.6225,583991.9077,114448.2109,3.4185,10.9443
300176.SZ,20250808,7.4,103.0012,107.9303,286587.792,286587.792,3.0666,2.0019
000016.SZ,20250808,4.93,,,1187117.0861,787120.7434,5.0135,1.9484
300339.SZ,20250808,52.3,258.5295,249.8925,4165228.6984,4067301.2684,11.9317,4.0737
600287.SH,20250808,5.77,51.7618,55.4179,253215.281,252031.3347,1.1863,1.2271
688387.SH,20250808,6.27,,,2143556.25,864476.25,3.5012,8.158
600151.SH,20250808,7.7,,,1104374.261,1104374.261,2.2726,1.4493
000536.SZ,20250808,5.0,,,1383016.4015,1381541.258,13.0079,9.9474
688269.SH,20250808,40.38,56.9858,51.2315,527782.752,527782.752,5.4453,3.1019
002885.SZ,20250808,15.67,111.4838,89.6337,426077.8224,364316.9541,3.0101,13.5417
001388.SZ,20250808,46.52,50.8274,50.3562,725712.0,142224.1492,5.0942,8.1809
002289.SZ,20250808,25.99,,,728379.4521,727599.7521,31.4226,0.8252
600901.SH,20250808,5.96,11.7314,11.4976,3452258.3387,3450809.2649,1.4792,0.4687
002353.SZ,20250808,45.37,17.6824,16.7102,4645233.9143,3145247.5289,2.1262,3.6866
300435.SZ,20250808,17.21,,,663812.073,634729.9782,2.2107,4.4581
300084.SZ,20250808,8.51,,,434220.962,293252.544,3.3635,4.3476
002365.SZ,20250808,19.7,93.9877,202.1413,580524.525,483753.399,2.9844,13.045
300653.SZ,20250808,21.96,29.3585,41.5678,395280.0,395280.0,4.631,3.1739
002206.SZ,20250808,5.95,16.8432,14.5419,691513.2959,545123.9084,1.8737,3.4874
