ts_code,pb
600178.SH,2.7145
600179.SH,1.2487
600176.SH,1.6518
600180.SH,0.6322
600182.SH,5.2586
600183.SH,6.8384
600184.SH,3.9562
600186.SH,6.2507
600187.SH,1.5312
600185.SH,10.2688
600188.SH,2.3688
600189.SH,4.2806
600191.SH,2.3889
600192.SH,4.1571
600193.SH,20.3421
600197.SH,1.8469
600195.SH,1.3958
600196.SH,1.4964
600198.SH,48.0754
600199.SH,3.2059
600200.SH,0.4595
600201.SH,1.8243
600202.SH,2.8082
600203.SH,5.6581
600206.SH,4.1723
600207.SH,2.0276
600208.SH,0.8434
600210.SH,1.6326
600211.SH,3.498
600212.SH,14.2042
600217.SH,2.1318
600215.SH,1.7785
600218.SH,1.2481
600216.SH,1.3955
600219.SH,0.9415
600221.SH,26.2392
600222.SH,2.4033
600223.SH,2.0929
600227.SH,1.6349
600226.SH,2.5783
600228.SH,4.124
600229.SH,1.4529
600230.SH,1.368
600231.SH,1.1205
600232.SH,2.8013
600233.SH,1.8744
600234.SH,5.1043
600235.SH,1.5624
600237.SH,2.5908
600236.SH,3.1883
600239.SH,3.0706
600238.SH,30.6276
600241.SH,2.1571
600243.SH,2.4032
600246.SH,2.9367
600249.SH,1.4901
600248.SH,0.5944
600250.SH,5.8307
600252.SH,1.5592
600255.SH,5.0184
600251.SH,1.7181
600256.SH,1.5749
600257.SH,3.2868
600258.SH,1.3657
600259.SH,6.0656
600261.SH,1.3482
600265.SH,30.8246
600266.SH,0.5151
600262.SH,2.435
600267.SH,1.6123
600268.SH,3.1927
600269.SH,0.6471
600271.SH,1.272
600272.SH,4.7552
600273.SH,1.1917
600276.SH,7.0198
600278.SH,0.9272
600279.SH,1.0001
600280.SH,5.798
600281.SH,22.1106
600282.SH,1.0824
600284.SH,0.888
600285.SH,4.6768
600283.SH,1.8827
600287.SH,1.1863
600289.SH,3.598
600288.SH,3.2
600292.SH,1.8226
600293.SH,2.0496
600295.SH,1.3652
600298.SH,2.8637
600299.SH,1.7106
600300.SH,1.6554
600302.SH,3.9765
600301.SH,3.4803
600303.SH,1.9648
600305.SH,2.6823
600307.SH,1.5532
600308.SH,0.595
600309.SH,1.9926
600313.SH,3.5799
600310.SH,2.2134
600312.SH,2.0242
600316.SH,5.9618
600315.SH,2.1882
600318.SH,4.6378
600319.SH,5.5431
600320.SH,1.6047
600322.SH,
600323.SH,1.6692
600325.SH,0.6623
600326.SH,5.8496
600327.SH,1.3027
600329.SH,4.253
600328.SH,0.9713
600332.SH,1.1702
600331.SH,8.8317
600330.SH,1.2223
600333.SH,1.6902
600335.SH,0.8469
600336.SH,2.2735
600337.SH,1.0388
600338.SH,2.8387
600345.SH,2.6891
600339.SH,0.7367
600340.SH,4.2031
600343.SH,6.8518
600346.SH,1.7287
600348.SH,0.9953
600350.SH,1.6847
600351.SH,1.9624
600352.SH,1.0169
600353.SH,6.762
600354.SH,5.0964
600355.SH,11.3483
600356.SH,1.0678
600358.SH,40.0862
600359.SH,3.9733
600360.SH,2.4906
600362.SH,1.0636
600361.SH,1.5626
600363.SH,5.951
600365.SH,4.7638
600366.SH,2.7087
600367.SH,2.1711
600368.SH,0.9992
600370.SH,1.4424
600369.SH,1.1696
600372.SH,1.651
600371.SH,5.0825
600373.SH,0.7828
600375.SH,3.347
600376.SH,0.7996
600377.SH,1.9317
600378.SH,1.9859
600379.SH,5.7645
600380.SH,1.5708
600381.SH,2.4464
600382.SH,1.4411
600386.SH,2.1381
600383.SH,0.2979
600392.SH,4.3151
600389.SH,2.4758
600395.SH,1.0709
600391.SH,6.326
600388.SH,1.5337
600390.SH,0.6356
600396.SH,3.444
600397.SH,51.7895
600405.SH,12.6343
600398.SH,1.94
600399.SH,1.7922
600400.SH,2.0124
600403.SH,1.7065
600783.SH,2.135
600782.SH,0.5262
600785.SH,1.268
600784.SH,1.4385
600790.SH,0.9198
600787.SH,0.9613
600789.SH,2.3604
600791.SH,4.0371
600792.SH,1.4568
600793.SH,19.4795
600794.SH,2.157
600795.SH,1.4825
600797.SH,3.0656
600796.SH,1.6089
600798.SH,1.2439
600800.SH,2.92
600801.SH,1.1463
600802.SH,2.2121
600803.SH,2.7243
600805.SH,1.1183
600807.SH,42.6806
600808.SH,1.3828
600810.SH,1.4435
600809.SH,6.4272
600812.SH,2.1081
600814.SH,1.5645
600815.SH,3.3656
600818.SH,6.2047
600816.SH,2.088
600817.SH,2.6959
600819.SH,1.6806
600820.SH,0.6839
600821.SH,1.2125
600822.SH,4.9231
600824.SH,1.8513
600825.SH,3.0707
600826.SH,2.0289
600827.SH,0.9225
600828.SH,1.0314
