ts_code,roe
300369.SZ,-4.0639
300370.SZ,-4.6363
300371.SZ,0.6252
300374.SZ,-3.7562
300375.SZ,1.0219
300373.SZ,3.0667
300376.SZ,0.6446
300377.SZ,-2.7265
300378.SZ,-0.3804
300381.SZ,0.1863
300379.SZ,-0.9805
300380.SZ,0.432
300382.SZ,0.5347
300383.SZ,0.544
300384.SZ,3.0518
300385.SZ,-21.5992
300386.SZ,1.2996
300387.SZ,1.6904
300388.SZ,1.5041
300389.SZ,2.3809
300390.SZ,0.0287
300391.SZ,
300393.SZ,-4.0406
300394.SZ,8.1198
300395.SZ,2.5104
300396.SZ,0.7614
300397.SZ,-2.0194
300398.SZ,2.9333
300399.SZ,2.2802
300400.SZ,3.0709
300401.SZ,2.9419
300402.SZ,1.281
300403.SZ,2.7318
300405.SZ,-3.5176
300404.SZ,0.3983
300407.SZ,0.1295
300406.SZ,1.9922
300408.SZ,2.6447
300409.SZ,0.6062
300410.SZ,4.2827
300411.SZ,1.0917
300413.SZ,1.669
300412.SZ,-0.4704
300414.SZ,0.286
300415.SZ,4.3692
300416.SZ,4.4575
300417.SZ,-0.8494
300418.SZ,-5.5413
300419.SZ,-1.1325
300421.SZ,2.9927
300420.SZ,0.3143
300422.SZ,-0.7975
300423.SZ,-0.9625
300426.SZ,-7.2395
300424.SZ,1.1371
300425.SZ,-0.1002
300427.SZ,1.2665
300428.SZ,2.2046
300432.SZ,2.8377
300430.SZ,0.5625
300429.SZ,-0.2991
300434.SZ,2.5349
300435.SZ,3.3091
300436.SZ,-8.2354
300433.SZ,0.8775
300437.SZ,-0.3631
300438.SZ,-0.888
300439.SZ,1.0286
300440.SZ,-0.7359
300441.SZ,1.8444
300442.SZ,4.2291
300443.SZ,0.9242
300444.SZ,0.0582
300445.SZ,1.8387
300446.SZ,3.4833
300447.SZ,0.7054
300449.SZ,-2.3403
300448.SZ,-0.4784
300450.SZ,3.0975
300452.SZ,5.0796
300451.SZ,-0.3546
300454.SZ,-2.7476
300453.SZ,8.6217
300455.SZ,0.2845
300456.SZ,0.053
300457.SZ,0.2342
300458.SZ,3.0073
300459.SZ,0.1279
300460.SZ,-2.3616
300461.SZ,-1.5502
300462.SZ,-0.3122
300463.SZ,0.5365
300464.SZ,-2.1952
300465.SZ,-1.6341
300466.SZ,-1.5297
300467.SZ,1.0391
300468.SZ,0.7837
300469.SZ,-4.4125
300471.SZ,0.5514
300470.SZ,3.4612
300473.SZ,1.444
300472.SZ,-97.8239
300474.SZ,-0.7785
300475.SZ,0.5666
300476.SZ,9.7642
300477.SZ,-2.8798
300478.SZ,-2.6917
300479.SZ,-5.4379
300480.SZ,1.3577
300481.SZ,1.4904
300482.SZ,3.3482
300483.SZ,1.0468
300484.SZ,4.1453
300485.SZ,1.1836
300486.SZ,0.3615
300488.SZ,1.8121
300487.SZ,4.8085
300489.SZ,3.7802
300490.SZ,-3.0496
300491.SZ,-0.5719
300492.SZ,36.291
300493.SZ,1.1454
300494.SZ,1.7507
300497.SZ,0.1026
300496.SZ,0.9419
300498.SZ,4.765
300499.SZ,0.9566
