ts_code,pe
600236.SH,22.2998
600239.SH,
600238.SH,
600241.SH,130.2751
600243.SH,
600246.SH,
600249.SH,39.8773
600248.SH,4.9783
600250.SH,77.5803
600252.SH,
600255.SH,115.8629
600251.SH,31.179
600256.SH,11.9163
600257.SH,
600258.SH,19.3737
600259.SH,
600261.SH,22.5556
600265.SH,
600266.SH,
600262.SH,22.3298
600267.SH,22.2348
600268.SH,30.2718
600269.SH,9.4571
600271.SH,1090.4922
600272.SH,104.8384
600273.SH,12.1582
600276.SH,63.884
600278.SH,31.9621
600279.SH,12.6317
600280.SH,
600281.SH,
600282.SH,12.4896
600284.SH,11.6261
600285.SH,18.1307
600283.SH,26.0294
600287.SH,51.7618
600289.SH,
600288.SH,
600292.SH,263.1502
600293.SH,286.2581
600295.SH,15.684
600298.SH,23.1885
600299.SH,22.4916
600300.SH,13.4912
600302.SH,
600301.SH,21.9563
600303.SH,
600305.SH,68.556
600307.SH,
600308.SH,151.0078
600309.SH,14.6038
600313.SH,149.7951
600310.SH,96.5692
600312.SH,21.2589
600316.SH,808.7529
600315.SH,
600318.SH,159.265
600319.SH,
600320.SH,46.2133
600322.SH,
600323.SH,13.2159
600325.SH,13.8865
600326.SH,
600327.SH,100.5662
600329.SH,13.7968
600328.SH,22.4698
600332.SH,15.2975
600331.SH,780.55
600330.SH,110.2435
600333.SH,
600335.SH,24.6211
600336.SH,
600337.SH,
600338.SH,46.5849
600345.SH,55.1363
600339.SH,30.9269
600340.SH,
600343.SH,
600346.SH,15.2503
600348.SH,12.0804
600350.SH,14.7633
600351.SH,22.0942
600352.SH,16.9534
600353.SH,118.2484
600354.SH,73.123
600355.SH,
600356.SH,23.652
600358.SH,
600359.SH,87.8528
600360.SH,65.6316
600362.SH,11.8521
600361.SH,16.5458
600363.SH,104.621
600365.SH,
600366.SH,167.4924
600367.SH,58.6287
600368.SH,9.982
600370.SH,
600369.SH,43.4207
600372.SH,58.8167
600371.SH,53.3696
600373.SH,18.3709
600375.SH,70.4511
600376.SH,
600377.SH,14.5123
600378.SH,31.9379
600379.SH,48.1639
600380.SH,16.176
600381.SH,
600382.SH,702.2912
600386.SH,181.8291
600383.SH,
600392.SH,197.7039
600389.SH,42.2399
600395.SH,106.7548
600391.SH,153.134
600388.SH,18.5061
600390.SH,53.2108
600396.SH,60.3161
600397.SH,
600405.SH,
600398.SH,15.3521
600399.SH,99.4144
600400.SH,
600403.SH,
600783.SH,57.9185
600782.SH,420.3819
600785.SH,21.3556
600784.SH,15.1762
600790.SH,39.6542
600787.SH,32.5435
600789.SH,23.2971
600791.SH,
600792.SH,
600793.SH,
600794.SH,26.3173
600795.SH,8.4361
600797.SH,
600796.SH,32.9836
600798.SH,218.6789
600800.SH,
600801.SH,14.0075
600802.SH,
600803.SH,13.0482
600805.SH,177.9622
600807.SH,
600808.SH,
600810.SH,293.3633
600809.SH,17.8497
600812.SH,89.5746
600814.SH,22.9349
600815.SH,757.5269
600818.SH,
600816.SH,544.4132
600817.SH,29.4509
600819.SH,50.4601
600820.SH,7.4258
600821.SH,13.9335
600822.SH,118.0622
600824.SH,127.1002
600825.SH,185.1749
600826.SH,26.2006
600827.SH,11.4169
600828.SH,194.4286
600829.SH,22.7853
600830.SH,92.7924
600831.SH,
600833.SH,18.2917
600834.SH,82.176
600835.SH,28.6418
600838.SH,82.6914
600839.SH,64.5007
600841.SH,
600843.SH,
600844.SH,
600845.SH,31.1104
600847.SH,
600846.SH,15.8465
600850.SH,31.5046
600848.SH,21.1171
600851.SH,55.7383
600853.SH,9.6993
600857.SH,
600854.SH,21.5832
600855.SH,
600858.SH,43.8181
600860.SH,950.4244
600859.SH,58.2937
600861.SH,15.2007
600864.SH,41.6717
600865.SH,25.62
600863.SH,11.5087
600862.SH,31.8085
600866.SH,13.9872
600868.SH,
600869.SH,
600867.SH,
600871.SH,61.2286
600872.SH,16.3986
600873.SH,11.5031
600875.SH,23.5414
600876.SH,
600874.SH,11.6146
600877.SH,218.8587
600879.SH,68.1509
600882.SH,122.5821
600883.SH,28.0091
600880.SH,299.2438
600881.SH,
600885.SH,22.0705
600884.SH,
600886.SH,18.2429
600887.SH,20.4289
600888.SH,8.8662
600893.SH,128.2151
600892.SH,
600889.SH,
600894.SH,10.6924
600895.SH,54.5434
600897.SH,14.3809
600906.SH,35.7803
600905.SH,20.2078
600900.SH,20.9774
600903.SH,129.501
600901.SH,11.7314
600908.SH,5.9834
600909.SH,19.2738
600916.SH,16.8946
600925.SH,24.8151
600918.SH,50.8545
600927.SH,38.6476
600917.SH,23.7395
600919.SH,6.7139
600926.SH,6.9961
600928.SH,6.7747
600929.SH,28.5124
600930.SH,30.1083
600933.SH,19.0941
600935.SH,
600938.SH,9.0314
600939.SH,
600936.SH,
600941.SH,17.18
600955.SH,138.6942
600956.SH,20.4454
600959.SH,49.4031
600958.SH,29.0643
600960.SH,
600961.SH,16.4777
600963.SH,50.5983
600962.SH,179.4453
600965.SH,83.1389
600966.SH,38.7016
600968.SH,11.3994
600967.SH,79.3818
600970.SH,8.124
600969.SH,
600973.SH,
600971.SH,7.8697
600975.SH,210.1063
600977.SH,183.3014
600976.SH,17.5559
600979.SH,26.6534
600980.SH,40.0108
600981.SH,230.7268
600982.SH,18.5902
600983.SH,43.2232
600984.SH,
600985.SH,7.1278
600986.SH,81.7366
600989.SH,17.9236
600988.SH,27.8975
600987.SH,10.4676
600992.SH,
600990.SH,
600996.SH,
600993.SH,22.7732
600995.SH,29.0525
600999.SH,15.1056
600997.SH,12.2823
600998.SH,10.7591
601000.SH,12.1886
601001.SH,8.4518
601002.SH,40.263
601003.SH,
601005.SH,
601006.SH,14.5988
601007.SH,89.4708
601008.SH,39.1777
601009.SH,7.4451
601011.SH,
601010.SH,30.2021
601012.SH,
601015.SH,
601016.SH,14.7957
601019.SH,15.0846
601020.SH,67.9414
601018.SH,14.5783
601022.SH,22.4983
601021.SH,22.6533
601033.SH,16.7919
601059.SH,41.8654
601038.SH,16.3546
601065.SH,11.9081
601061.SH,18.0172
601058.SH,10.6186
601068.SH,69.4352
601066.SH,27.5229
601069.SH,64.309
601083.SH,15.4436
601089.SH,29.0844
601077.SH,6.7869
601096.SH,51.9632
601086.SH,121.6998
601088.SH,12.7194
601098.SH,17.0135
601099.SH,123.5941
601100.SH,41.7579
601108.SH,16.215
601101.SH,10.6273
601107.SH,11.7173
601106.SH,
601113.SH,9.2632
601111.SH,
601117.SH,8.9113
601121.SH,39.2194
601116.SH,41.3854
601118.SH,203.6462
601127.SH,34.8048
601133.SH,32.5379
601126.SH,20.18
601128.SH,6.7839
601136.SH,55.228
601138.SH,31.2992
601137.SH,11.2654
601156.SH,8.5357
601155.SH,47.9669
601139.SH,13.07
601162.SH,
601158.SH,28.9193
601163.SH,10.1935
601168.SH,14.2986
601166.SH,6.321
601187.SH,7.1403
601169.SH,5.3449
601179.SH,31.9957
601177.SH,33.0015
601186.SH,5.0186
601188.SH,30.4798
601198.SH,23.9661
601212.SH,307.0363
601200.SH,19.3255
601211.SH,27.0725
601199.SH,13.3301
601208.SH,81.2381
601216.SH,16.0406
601218.SH,137.1511
601226.SH,66.9002
601229.SH,6.3084
601222.SH,15.8983
601225.SH,9.5347
601231.SH,21.3715
601236.SH,55.1308
601228.SH,26.3628
601233.SH,24.69
601279.SH,132.8528
601238.SH,93.2317
601288.SH,8.3252
601298.SH,11.1225
601319.SH,8.5211
601326.SH,11.8896
601311.SH,17.7508
601318.SH,8.42
601328.SH,7.3175
603937.SH,
603948.SH,16.5165
603949.SH,67.5249
603933.SH,94.2493
603938.SH,89.3885
603939.SH,18.9805
603950.SH,33.4026
603936.SH,
603958.SH,
603960.SH,93.9976
603955.SH,170.0311
603967.SH,16.1056
603956.SH,
603966.SH,26.7228
603959.SH,
603968.SH,
603976.SH,62.8106
603970.SH,18.7943
603980.SH,23.9234
603978.SH,
603969.SH,30.3959
603977.SH,44.8886
603979.SH,19.3613
603982.SH,
603983.SH,47.8084
603985.SH,
603989.SH,32.9882
603990.SH,
603987.SH,18.723
603986.SH,70.1044
603991.SH,
603988.SH,
603992.SH,29.4405
603995.SH,8.2183
605001.SH,57.3271
605003.SH,31.6866
603993.SH,15.4307
603997.SH,
603999.SH,64.4862
603998.SH,18.8559
605005.SH,28.5558
605006.SH,
605009.SH,22.7493
605008.SH,97.6935
605007.SH,16.3034
605011.SH,42.4694
605016.SH,34.7846
605018.SH,53.5575
605020.SH,48.652
605028.SH,19.5662
605033.SH,78.422
605055.SH,81.0646
605050.SH,28.0254
605056.SH,27.6302
605060.SH,31.5062
605058.SH,29.4941
605066.SH,32.6835
605068.SH,
605069.SH,
605077.SH,20.148
605081.SH,
605080.SH,20.2876
605086.SH,39.842
605088.SH,28.2692
605089.SH,41.4811
605090.SH,11.667
605098.SH,16.1534
605099.SH,24.126
605100.SH,46.9062
605111.SH,31.4718
605108.SH,50.3196
605116.SH,26.7674
605117.SH,16.0398
605118.SH,78.6327
605122.SH,
605123.SH,33.93
605136.SH,
605128.SH,59.0676
605138.SH,92.2973
605133.SH,55.3846
605151.SH,77.7943
605155.SH,21.1393
605158.SH,20.7772
605162.SH,24.1616
605166.SH,12.9117
605167.SH,20.4094
605168.SH,56.6773
605169.SH,27.6145
605177.SH,
605178.SH,
605180.SH,56.5237
605179.SH,276.5342
605183.SH,15.7184
605186.SH,93.7594
605188.SH,2063.4733
605189.SH,26.2105
605196.SH,35.1098
605198.SH,63.3705
605208.SH,114.2619
605199.SH,
605228.SH,
605222.SH,48.512
605218.SH,86.2601
605255.SH,103.076
605258.SH,39.6341
605259.SH,25.7122
605266.SH,26.4635
