ts_code,grossprofit_margin
600088.SH,12.3951
600084.SH,60.2636
600089.SH,20.5862
600096.SH,17.2296
600094.SH,16.928
600097.SH,32.4572
600098.SH,10.578
600095.SH,5.1418
600099.SH,16.3849
600100.SH,28.9794
600101.SH,13.5894
600103.SH,22.1329
600104.SH,8.1295
600106.SH,93.3888
600107.SH,31.6638
600105.SH,14.6465
600108.SH,21.5641
600109.SH,
600110.SH,9.933
600111.SH,11.2089
600113.SH,36.4788
600115.SH,2.0775
600114.SH,23.7167
600116.SH,7.4327
600117.SH,-2.3825
600118.SH,16.0212
600119.SH,20.6781
600120.SH,5.5493
600121.SH,19.724
600127.SH,9.1648
600126.SH,1.6187
600123.SH,24.3915
600128.SH,3.3979
600125.SH,12.2876
600129.SH,28.8639
600130.SH,15.3114
600135.SH,13.409
600131.SH,20.0768
600133.SH,27.7083
600137.SH,23.5002
600136.SH,18.9287
600132.SH,48.4171
600138.SH,20.5475
600141.SH,12.9334
600143.SH,12.0858
600149.SH,36.7722
600148.SH,11.8398
600150.SH,12.8362
600152.SH,11.2214
600151.SH,7.6303
600153.SH,3.3078
600155.SH,
600156.SH,4.2618
600158.SH,18.1365
600157.SH,20.5012
600159.SH,17.1171
600160.SH,28.4171
600161.SH,45.8721
600162.SH,24.7168
600163.SH,68.164
600165.SH,-28.699
600167.SH,49.3022
600166.SH,10.8982
600168.SH,18.7484
600169.SH,14.1301
600170.SH,7.5396
600171.SH,28.4508
600172.SH,7.9736
600177.SH,50.9351
600173.SH,13.2788
600178.SH,2.3331
600179.SH,17.6783
600176.SH,30.5268
600180.SH,4.6897
600182.SH,14.0291
600183.SH,24.6009
600184.SH,19.1696
600186.SH,30.6687
600187.SH,12.6911
600185.SH,36.6768
600188.SH,31.4526
600189.SH,33.6527
600191.SH,4.8001
600192.SH,13.5339
600193.SH,-34.7299
600197.SH,48.77
600195.SH,19.5061
600196.SH,47.7693
600198.SH,27.2441
600199.SH,41.696
600200.SH,63.6652
600201.SH,54.5256
600202.SH,12.6436
600203.SH,7.8121
600206.SH,6.6733
600207.SH,-4.3171
600208.SH,27.5523
600210.SH,21.6288
600211.SH,94.7559
600212.SH,31.7869
600217.SH,6.1453
600215.SH,9.5407
600218.SH,9.1268
600216.SH,43.3967
600219.SH,32.9225
600221.SH,10.249
600222.SH,26.8113
600223.SH,51.296
600227.SH,5.882
600226.SH,6.9252
600228.SH,47.8483
600229.SH,28.7423
600230.SH,7.4791
600231.SH,-3.3422
600232.SH,6.9456
600233.SH,8.5266
600234.SH,13.5213
600235.SH,16.2045
600237.SH,23.2305
600236.SH,46.7152
600239.SH,30.5535
600238.SH,32.6126
600241.SH,24.2982
600243.SH,13.9535
600246.SH,22.3501
600249.SH,17.5101
600248.SH,11.0971
600250.SH,22.297
600252.SH,29.6226
600255.SH,6.9884
600251.SH,7.7052
600256.SH,20.4813
600257.SH,24.9997
600258.SH,35.3589
600259.SH,3.1877
600261.SH,35.4654
600265.SH,-8.9676
600266.SH,19.8285
600262.SH,16.7316
600267.SH,42.1332
600268.SH,18.1253
600269.SH,48.2203
600271.SH,16.0183
600272.SH,17.528
600273.SH,17.4243
600276.SH,85.169
600278.SH,4.5248
600279.SH,8.8766
600280.SH,50.1636
600281.SH,-2.8676
600282.SH,11.7935
600284.SH,6.484
600285.SH,76.7673
600283.SH,39.8574
600287.SH,17.3503
600289.SH,59.4258
600288.SH,32.8696
600292.SH,16.6448
600293.SH,3.0146
600295.SH,23.7552
600298.SH,25.9709
600299.SH,29.6417
600300.SH,24.7298
600302.SH,19.591
600301.SH,34.9831
600303.SH,1.7469
600305.SH,35.4996
600307.SH,8.1204
600308.SH,11.2914
600309.SH,15.7049
600313.SH,7.0113
600310.SH,12.9491
600312.SH,28.7412
600316.SH,3.8394
600315.SH,63.4034
600318.SH,81.5502
600319.SH,-1.1434
600320.SH,10.6551
600322.SH,-16.6786
600323.SH,32.2762
600325.SH,8.8473
600326.SH,0.5231
600327.SH,19.4629
600329.SH,73.8562
600328.SH,10.8959
600332.SH,20.5121
600331.SH,1.5752
600330.SH,18.8019
600333.SH,20.4097
600335.SH,7.4231
600336.SH,14.2069
600337.SH,35.1605
600338.SH,53.7304
600345.SH,12.0842
600339.SH,7.1826
600340.SH,11.9166
600343.SH,9.0609
600346.SH,10.5738
600348.SH,35.9584
600350.SH,39.1842
600351.SH,52.9307
600352.SH,28.6117
600353.SH,23.8298
600354.SH,42.9598
600355.SH,29.3817
600356.SH,15.6759
600358.SH,6.2725
600359.SH,35.2198
600360.SH,27.9533
600362.SH,4.3996
600361.SH,3.3166
600363.SH,18.842
600365.SH,22.3646
600366.SH,12.41
600367.SH,23.8
600368.SH,47.3739
600370.SH,0.136
600369.SH,
600372.SH,24.5363
600371.SH,32.7785
600373.SH,34.9547
600375.SH,8.7541
600376.SH,7.2765
600377.SH,34.6718
600378.SH,22.6879
600379.SH,19.2704
600380.SH,61.8902
600381.SH,60.627
600382.SH,60.3072
600386.SH,13.1367
600383.SH,12.5134
600392.SH,7.9779
600389.SH,18.0236
600395.SH,17.2802
600391.SH,14.8345
600388.SH,25.4925
600390.SH,1.142
600396.SH,25.9188
600397.SH,-3.8386
600405.SH,8.5747
600398.SH,46.6206
600399.SH,0.9281
600400.SH,34.9292
600403.SH,8.7239
600783.SH,47.3652
600782.SH,3.0634
600785.SH,24.667
600784.SH,27.1931
600790.SH,37.9383
600787.SH,3.2141
600789.SH,20.7032
600791.SH,9.4204
600792.SH,-1.7321
600793.SH,21.7461
600794.SH,29.1838
600795.SH,13.9109
600797.SH,19.8567
600796.SH,23.1791
600798.SH,-3.4818
600800.SH,-9.6618
600801.SH,26.1139
600802.SH,5.0362
600803.SH,11.8309
600805.SH,10.1029
600807.SH,11.2572
600808.SH,2.7035
600810.SH,9.9848
600809.SH,78.7981
600812.SH,29.4422
600814.SH,76.8956
600815.SH,15.3886
600818.SH,16.6573
600816.SH,
600817.SH,19.0784
600819.SH,18.7456
600820.SH,14.9536
600821.SH,50.4226
600822.SH,14.0537
600824.SH,48.0024
600825.SH,38.7214
600826.SH,26.211
600827.SH,24.5742
600828.SH,60.7635
600829.SH,8.0418
600830.SH,49.5127
600831.SH,9.418
600833.SH,16.9476
600834.SH,19.7564
600835.SH,15.8372
600838.SH,30.1454
600839.SH,9.875
600841.SH,0.3598
600843.SH,17.4041
600844.SH,-4.6607
600845.SH,34.7909
600847.SH,4.9858
600846.SH,11.0838
600850.SH,17.8169
600848.SH,52.3293
600851.SH,58.7489
600853.SH,12.2285
600857.SH,10.6246
600854.SH,36.6798
600855.SH,26.1133
600858.SH,39.0775
600860.SH,18.761
600859.SH,39.242
600861.SH,5.6302
600864.SH,14.5038
600865.SH,89.3004
600863.SH,25.0364
600862.SH,41.205
600866.SH,22.462
600868.SH,0.004
600869.SH,10.6913
600867.SH,69.3234
600871.SH,8.1094
600872.SH,38.7263
600873.SH,24.6012
600875.SH,16.6242
600876.SH,-13.4416
600874.SH,39.8426
600877.SH,33.6561
600879.SH,26.6109
600882.SH,31.4851
600883.SH,4.7712
600880.SH,20.8761
600881.SH,24.8343
600885.SH,34.2357
600884.SH,14.8112
600886.SH,43.6251
600887.SH,37.6676
600888.SH,9.6162
600893.SH,9.7745
600892.SH,76.7608
600889.SH,-35.0139
600894.SH,13.8178
600895.SH,28.3586
600897.SH,38.4237
600906.SH,
600905.SH,49.3245
600900.SH,52.9767
600903.SH,13.2828
600901.SH,
600908.SH,
600909.SH,
600916.SH,5.6458
600925.SH,25.9156
600918.SH,
600927.SH,
600917.SH,3.2996
600919.SH,
600926.SH,
600928.SH,
600929.SH,23.4458
600930.SH,48.2139
600933.SH,28.7291
600935.SH,12.4852
600938.SH,54.6465
600939.SH,5.5459
600936.SH,-1.4685
600941.SH,31.616
600955.SH,-4.523
600956.SH,23.619
600959.SH,23.0189
600958.SH,
600960.SH,11.1503
600961.SH,12.0386
600963.SH,9.2214
600962.SH,15.6555
600965.SH,27.7447
600966.SH,9.6026
600968.SH,12.9033
600967.SH,11.2152
600970.SH,16.9721
600969.SH,5.892
600973.SH,4.4711
600971.SH,22.084
600975.SH,8.6374
600977.SH,-3.1746
600976.SH,57.6111
600979.SH,21.2538
600980.SH,25.6917
600981.SH,3.2178
600982.SH,19.364
600983.SH,16.2858
600984.SH,-22.6576
600985.SH,18.3384
600986.SH,7.8125
600989.SH,35.3629
600988.SH,46.4187
600987.SH,21.9705
600992.SH,7.2201
600990.SH,19.0812
600996.SH,-28.6595
600993.SH,49.8911
600995.SH,51.4053
600999.SH,
600997.SH,11.2002
600998.SH,7.3309
601000.SH,44.3603
601001.SH,38.5855
601002.SH,25.1229
601003.SH,6.5585
601005.SH,0.5824
601006.SH,16.2874
601007.SH,22.592
601008.SH,22.4363
601009.SH,
601011.SH,-20.9004
601010.SH,48.597
601012.SH,-4.1823
601015.SH,-10.3167
601016.SH,50.8131
601019.SH,41.6688
601020.SH,42.7248
601018.SH,29.95
601022.SH,17.5387
601021.SH,16.3357
601033.SH,42.9124
601059.SH,
601038.SH,15.9131
601065.SH,31.7196
601061.SH,2.0079
601058.SH,24.7364
601068.SH,8.9122
601066.SH,
601069.SH,6.668
601083.SH,32.2522
601089.SH,66.6442
601077.SH,
601096.SH,11.1914
601086.SH,44.5348
601088.SH,34.0634
601098.SH,45.2914
601099.SH,
601100.SH,39.4014
601108.SH,
601101.SH,33.8199
601107.SH,44.8659
601106.SH,6.3712
601113.SH,17.3503
601111.SH,0.5248
601117.SH,9.2974
601121.SH,31.2595
601116.SH,26.6279
601118.SH,4.468
601127.SH,27.6176
601133.SH,10.2718
601126.SH,31.8397
601128.SH,
601136.SH,
601138.SH,6.7345
601137.SH,14.2971
601156.SH,17.4801
601155.SH,29.4637
601139.SH,13.3618
601162.SH,
601158.SH,29.8828
601163.SH,15.4515
601168.SH,19.9774
601166.SH,
601187.SH,
601169.SH,
601179.SH,21.0222
601177.SH,21.3275
