ts_code,amihud
000652.SZ,2.990611572203295e-14
000655.SZ,4.3115542397582594e-14
000656.SZ,3.0403383386411895e-14
000657.SZ,5.929177126776559e-15
000659.SZ,5.320570269156163e-14
000661.SZ,5.088384591336816e-15
000663.SZ,9.353923924006723e-14
000665.SZ,3.1307467463045224e-14
000668.SZ,1.3845936553036391e-13
000669.SZ,9.149988538962514e-14
000672.SZ,2.2542444990126045e-14
000676.SZ,1.9175549239549355e-14
000670.SZ,3.747624333021915e-14
000677.SZ,4.635328188971816e-14
000678.SZ,3.015136029822655e-14
000679.SZ,6.5846369264104e-14
000680.SZ,1.3495396278869963e-14
000681.SZ,1.7194083944997223e-14
000685.SZ,1.2271301213415886e-14
000682.SZ,1.4514355914831555e-14
000683.SZ,9.568688421304998e-15
000686.SZ,9.95598567230044e-15
000688.SZ,1.3243129333890984e-14
000690.SZ,1.7233992931415436e-14
000691.SZ,9.311173065953245e-14
000692.SZ,9.384176776708771e-14
000697.SZ,3.1739674302627706e-14
000695.SZ,8.840830229771103e-14
000698.SZ,6.096432175571118e-14
000700.SZ,2.7555555593898476e-14
000701.SZ,5.301146849877576e-14
000702.SZ,7.085612471895222e-14
000703.SZ,9.49122726262839e-15
000705.SZ,5.745384089696693e-14
000707.SZ,6.657670184147086e-14
000708.SZ,2.831124882906707e-15
000709.SZ,6.2359952258398785e-15
000711.SZ,4.597829738932657e-14
000710.SZ,4.781725225658897e-14
000712.SZ,1.7214931386896423e-14
000713.SZ,4.7547316774445817e-14
000715.SZ,5.824474284876297e-14
000716.SZ,4.405787010389323e-14
000717.SZ,2.690970835920081e-14
000718.SZ,3.220229550207648e-14
000720.SZ,4.352318258422397e-14
000719.SZ,1.4528154910087376e-14
000721.SZ,4.46142016521609e-14
000722.SZ,3.76848380005416e-14
000723.SZ,1.1055847335168739e-14
000726.SZ,2.7214515208170478e-14
000725.SZ,1.2675168049687362e-15
000727.SZ,1.963758563984467e-14
000728.SZ,5.374683537955138e-15
000729.SZ,4.1598726044929745e-15
000731.SZ,4.509835345238134e-14
000733.SZ,7.917712839256186e-15
002281.SZ,5.55218761159853e-15
002286.SZ,4.995005287105374e-14
002284.SZ,2.6342839473492927e-14
002287.SZ,1.1730383397384216e-14
002289.SZ,3.4104434415925206e-14
002290.SZ,2.969476088187074e-14
002292.SZ,1.746743277096411e-14
002291.SZ,3.828997516947947e-14
