ts_code,ln_mv,pe,pe_ttm,pb,momentum_12m_ex1m,volatility,turnover_rate,amihud,roe,grossprofit_margin,revenue_growth,profit_growth
000423.SZ,28.822127979029013,21.135,20.2062,3.3182,0.045559625594581155,0.39332296680953877,0.5497,4.9387907684049775e-15,4.0387,73.6171,18.243,
000426.SZ,28.856462614008496,22.2613,20.334,4.1146,0.480769407665377,0.5005303828210195,1.8915,6.536679779557998e-15,4.6281,55.5659,50.3746,
000425.SZ,29.989830030272003,17.701,16.5335,1.7934,0.2912976895931818,0.47894484488718314,2.8492,1.7935203725086884e-15,3.3502,22.0716,10.9223,
000428.SZ,26.55912612829733,,,2.303,0.26770025839793266,0.4962370368754579,1.1725,6.11784421171669e-14,-4.1749,2.7363,-14.7124,
000429.SZ,28.59968253473841,16.8643,14.6446,2.6335,0.3162162162162162,0.32688803709606495,0.2633,5.0756711955024055e-15,6.0977,67.7465,-6.6295,
000430.SZ,26.413360825559256,,,11.4437,0.31420157846122887,0.4179944506596526,2.0947,6.397665775951272e-14,-11.4003,-5.4148,0.6391,
000488.SZ,27.270230742930995,,,0.9047,-0.5120686462127292,0.4182998844627183,11.0595,2.4830830476132365e-14,-17.2178,-131.9203,-88.2108,
000498.SZ,27.571621940845457,4.0577,4.0491,0.6359,0.23288205935731832,0.4778617856993778,2.3276,2.1536613622293108e-14,1.0237,11.4547,1.9503,
000501.SZ,27.523640238268747,41.5845,40.8372,0.8186,0.4063409599573249,0.41440436412434767,4.1069,2.013765340815625e-14,1.2902,48.6516,-8.6205,
000504.SZ,26.69973749783683,,,16.7768,0.46325436115040075,0.5207758924217734,1.4584,5.988204093181257e-14,-0.9402,64.9629,-13.5532,
000507.SZ,26.954954030326803,17.4126,16.2396,0.9954,0.24314913844325614,0.44368910577441695,1.0979,3.741287099273299e-14,1.2334,28.5647,-10.887,
000505.SZ,26.91611393221758,187.2284,301.3079,1.5566,0.31451895567771615,0.5158188061482936,1.5016,4.7259171513935284e-14,0.409,6.6779,-41.294,
000506.SZ,27.601410579354805,,,18.358,8.488383349467568,0.5399242636409509,2.168,2.4036294710045038e-14,-0.5868,22.2878,95.788,
000503.SZ,27.670425738996286,,,7.6484,0.5083691710936841,0.5608386832126129,3.0889,2.3644995952693678e-14,-3.2959,-14.7863,5.3264,
000509.SZ,26.654629857235555,,,27.9108,0.49781707858517077,0.5128298833646541,0.9982,6.081870308583723e-14,0.6152,6.1956,-17.2816,
000510.SZ,26.526609364840805,,,2.5976,0.8447653429602888,0.48392537963876725,14.4387,6.444301621560214e-14,-2.8345,7.5647,-10.9273,
000513.SZ,28.916500647420616,17.546,17.3035,2.7431,0.013939654937188406,0.43106236192850456,1.1218,5.2450849259051275e-15,4.5434,64.9591,-1.9202,
000514.SZ,26.877750609694758,,51.1791,1.2355,1.0656850047863058,0.516675804744516,3.2319,4.747740338113736e-14,4.8295,18.3949,-1.641,
000516.SZ,27.815247155044222,,,3.4791,0.18345398406891378,0.4985248386357221,2.3391,1.7064597911572442e-14,-2.9365,5.2092,-14.9909,
000517.SZ,27.123126774586687,,,1.0309,-0.2236259541984733,1.171504157895122,0.8239,3.627281573675775e-14,0.3315,7.9626,-65.9607,
000518.SZ,26.207714809075657,,,6.7711,0.29112236736870145,0.4890503504064451,1.0191,8.365349801255709e-14,-4.3751,64.3837,-22.2649,
