ts_code,revenue_growth
300304.SZ,10.5469
300305.SZ,-15.422
300310.SZ,-4.1469
300306.SZ,-6.1285
300307.SZ,2.7336
300308.SZ,37.8237
300313.SZ,40.502
300311.SZ,108.4599
300314.SZ,-21.9953
300315.SZ,-36.6189
300317.SZ,67.55
300320.SZ,27.2054
300319.SZ,15.437
300318.SZ,-23.0467
300316.SZ,-30.4185
300321.SZ,9.2625
300322.SZ,41.6906
300323.SZ,27.8153
300324.SZ,1.4284
300326.SZ,7.5586
300328.SZ,-14.6023
300327.SZ,0.0486
300329.SZ,-39.9567
300331.SZ,-3.9267
300332.SZ,-19.0183
300333.SZ,27.6152
300334.SZ,-1.2334
300335.SZ,13.2091
300340.SZ,-4.0955
300339.SZ,8.0914
300338.SZ,-10.2068
300337.SZ,21.8658
300341.SZ,5.9143
300344.SZ,151.4822
300343.SZ,12.1986
300345.SZ,4.0882
300342.SZ,-1.4318
300347.SZ,-5.7861
300348.SZ,3.0409
300349.SZ,-2.32
300346.SZ,23.1907
300352.SZ,-52.7137
300351.SZ,11.1433
300350.SZ,23.0903
300353.SZ,3.0813
300354.SZ,4.2542
300357.SZ,5.6519
300358.SZ,-22.1876
300355.SZ,28.1544
300359.SZ,-27.9321
300360.SZ,-7.4024
300364.SZ,4.6695
300365.SZ,114.4141
300363.SZ,18.2141
300366.SZ,61.6035
300368.SZ,-62.4289
300369.SZ,1.8369
300370.SZ,-3.7842
300371.SZ,47.5201
300374.SZ,-17.8899
300375.SZ,21.704
300373.SZ,18.9039
300376.SZ,-4.5176
300377.SZ,8.498
300378.SZ,4.3258
300381.SZ,1.7892
300379.SZ,77.4077
300380.SZ,8.9241
300382.SZ,54.8622
300383.SZ,-7.4116
300384.SZ,-16.1615
300385.SZ,89.7315
300386.SZ,23.5021
300387.SZ,-3.4365
300388.SZ,-10.9975
300389.SZ,-4.4727
300390.SZ,-3.8038
300391.SZ,75.4625
300393.SZ,26.5075
300394.SZ,29.1061
300395.SZ,-0.9722
300396.SZ,-72.4658
300397.SZ,-34.7744
300398.SZ,4.8102
300399.SZ,12.9092
300400.SZ,21.2631
300401.SZ,-1.1754
300402.SZ,-9.8047
300403.SZ,5.5969
300405.SZ,-34.8495
300404.SZ,-17.06
300407.SZ,31.2677
300406.SZ,-18.8083
300408.SZ,17.2373
300409.SZ,-12.1688
300410.SZ,-13.8181
300411.SZ,-19.6379
300413.SZ,-12.7561
300412.SZ,12.3915
300414.SZ,12.7181
300415.SZ,24.3183
300416.SZ,8.0896
300417.SZ,44.1801
300418.SZ,46.0704
300419.SZ,-20.5843
300421.SZ,4.5307
300420.SZ,-7.9091
300422.SZ,-58.4373
300423.SZ,-37.237
300426.SZ,-27.4752
300424.SZ,-4.109
300425.SZ,36.2306
300427.SZ,75.1513
300428.SZ,20.3884
300432.SZ,80.2979
300430.SZ,-29.4186
300429.SZ,1.308
300434.SZ,-19.651
300435.SZ,-12.007
300436.SZ,-18.6923
300433.SZ,10.0974
300437.SZ,-28.4534
300438.SZ,5.8285
300439.SZ,-22.3216
300440.SZ,83.5849
300441.SZ,-39.6407
300442.SZ,21.4005
300443.SZ,97.5362
300444.SZ,-40.3477
300445.SZ,3.5729
300446.SZ,13.665
300447.SZ,-30.3177
300449.SZ,120.1537
300448.SZ,-26.0648
300450.SZ,-6.4176
300452.SZ,4.2843
300451.SZ,-22.6725
300454.SZ,21.9091
300453.SZ,10.8318
300455.SZ,-18.7215
300456.SZ,-2.2361
300457.SZ,-28.2855
300458.SZ,51.364
300459.SZ,-17.0592
300460.SZ,-6.4282
300461.SZ,-10.2713
300462.SZ,-27.1552
300463.SZ,-15.9415
300464.SZ,-8.6527
300465.SZ,-31.3024
300466.SZ,17.1265
300467.SZ,-6.2211
300468.SZ,-21.4026
300469.SZ,142.3418
300471.SZ,183.8904
300470.SZ,21.9935
300473.SZ,15.1299
300472.SZ,-94.7422
300474.SZ,-5.463
300475.SZ,243.3325
300476.SZ,80.3145
300477.SZ,-51.5681
300478.SZ,21.753
300479.SZ,303.7045
300480.SZ,4.9912
300481.SZ,0.5685
300482.SZ,-7.0627
300483.SZ,155.9935
300484.SZ,87.0365
300485.SZ,-15.519
300486.SZ,22.6455
300488.SZ,19.1028
300487.SZ,-8.5789
300489.SZ,78.2044
300490.SZ,-56.7569
300491.SZ,16.1376
300492.SZ,18.9124
300493.SZ,5.9622
300494.SZ,24.1614
300497.SZ,-31.352
300496.SZ,24.6866
300498.SZ,11.3354
300499.SZ,22.0329
300500.SZ,-33.0893
300501.SZ,10.4586
300502.SZ,264.1319
300503.SZ,14.2143
300505.SZ,23.9954
300506.SZ,5.1184
300508.SZ,9.5059
300507.SZ,131.882
300509.SZ,6.0316
300504.SZ,-38.5459
300511.SZ,-27.0358
300510.SZ,44.8354
600081.SH,-8.7591
600079.SH,-3.6117
600080.SH,-7.3121
600082.SH,-35.1461
600085.SH,0.1592
600088.SH,-18.4525
600084.SH,-4.3389
600089.SH,-0.7874
600096.SH,-6.1564
600094.SH,94.9127
600097.SH,5.0433
600098.SH,1.3869
600095.SH,-30.4289
600099.SH,34.4401
600100.SH,-31.1965
600101.SH,11.3809
600103.SH,-5.932
600104.SH,-0.9381
600106.SH,-0.245
600107.SH,-42.7768
600105.SH,7.5358
600108.SH,9.672
600109.SH,27.1431
600110.SH,34.2947
600111.SH,61.185
600113.SH,4.6507
600115.SH,0.6538
600114.SH,24.5067
600116.SH,-7.9219
600117.SH,-4.8701
600118.SH,33.5828
600119.SH,-83.9365
600120.SH,-42.9414
600121.SH,-15.0529
600127.SH,-16.0303
600126.SH,-10.0139
600123.SH,-3.079
600128.SH,19.4245
600125.SH,-22.8389
600129.SH,-32.7891
600130.SH,26.3169
600135.SH,-18.0672
600131.SH,9.1402
600133.SH,18.835
600137.SH,-9.6504
600136.SH,1148.7578
600132.SH,1.4622
600138.SH,6.8378
600141.SH,4.9399
600143.SH,49.0577
600149.SH,0.8034
600148.SH,-0.4989
600150.SH,3.8481
600152.SH,-19.721
600151.SH,-34.2636
600153.SH,9.4683
600155.SH,-12.038
600156.SH,14.4504
600158.SH,-57.9194
600157.SH,-22.9561
600159.SH,71.494
600160.SH,6.0462
600161.SH,7.8408
600162.SH,-6.5729
600163.SH,10.4326
600165.SH,74.0768
600167.SH,-1.0633
600166.SH,15.009
600168.SH,26.2973
600169.SH,60.1811
600170.SH,-46.0563
600171.SH,6.005
600172.SH,-2.6146
600177.SH,-15.5992
600173.SH,36.3765
600178.SH,25.7208
600179.SH,26.352
600176.SH,32.4158
600180.SH,-26.3101
600182.SH,4.8033
600183.SH,26.8605
600184.SH,33.0367
600186.SH,37.7727
600187.SH,21.1303
600185.SH,-58.5436
600188.SH,-23.5284
600189.SH,31.7397
600191.SH,-45.8159
600192.SH,-26.2267
600193.SH,-97.8286
600197.SH,-4.3156
600195.SH,11.8766
600196.SH,-7.2552
600198.SH,-17.0705
600199.SH,-29.4136
600200.SH,-25.4412
600201.SH,1.0553
600202.SH,-30.1944
600203.SH,0.4174
600206.SH,-18.6742
600207.SH,-22.6815
600208.SH,-84.6252
600210.SH,5.3428
600211.SH,1.1201
600212.SH,31.333
600217.SH,46.2378
600215.SH,-57.0921
600218.SH,5.7798
600216.SH,0.2768
600219.SH,24.3193
600221.SH,0.2929
600222.SH,-35.2301
600223.SH,-1.6347
600227.SH,29.0892
600226.SH,86.3625
600228.SH,-16.6778
600229.SH,-9.2619
600230.SH,-15.4294
600231.SH,-25.1487
600232.SH,7.2008
600233.SH,10.5841
600234.SH,1268.9491
600235.SH,-20.5575
600237.SH,16.7171
600236.SH,-8.6964
600239.SH,-3.149
600238.SH,-18.4688
600241.SH,9.2089
600243.SH,-10.1786
600246.SH,51.2106
600249.SH,15.4894
600248.SH,-16.3043
600250.SH,-7.9779
600252.SH,-7.9245
600255.SH,17.1683
600251.SH,-30.4887
600256.SH,-11.3445
600257.SH,-14.3992
600258.SH,-4.3374
600259.SH,-14.0494
600261.SH,-17.0558
600265.SH,-40.242
600266.SH,435.8967
600262.SH,6.4051
600267.SH,-3.4767
600268.SH,50.7857
600269.SH,0.0954
600271.SH,-22.713
600272.SH,15.0461
600273.SH,8.3074
600276.SH,20.1429
600278.SH,-3.4449
600279.SH,-20.3024
600280.SH,2.1541
600281.SH,120.8892
600282.SH,-14.9325
600284.SH,-41.3334
600285.SH,12.2886
600283.SH,7.8096
600287.SH,-19.3687
600289.SH,-15.3229
600288.SH,22.7312
600292.SH,4.5275
600293.SH,-30.1224
600295.SH,-16.3902
600298.SH,8.9489
600299.SH,22.985
600300.SH,-23.1069
600302.SH,-17.4639
600301.SH,20.1566
600303.SH,1.489
600305.SH,35.9659
600307.SH,-17.3658
600308.SH,-10.1427
600309.SH,-6.7008
600313.SH,85.2863
600310.SH,-15.2216
600312.SH,22.8235
600316.SH,90.5634
600315.SH,-10.5905
600318.SH,7.1277
600319.SH,5.6121
600320.SH,0.856
600322.SH,8.5193
600323.SH,-4.2411
600325.SH,164.0528
600326.SH,10.7632
600327.SH,-8.5525
600329.SH,-30.2211
600328.SH,-5.7572
600332.SH,-2.0605
600331.SH,15.0442
600330.SH,-15.3939
600333.SH,-6.5912
600335.SH,-14.8415
600336.SH,-13.796
600337.SH,-11.6606
600338.SH,86.6747
600345.SH,5.2465
600339.SH,16.2615
